ER_335,Real Isolate ID,Project,Freezer Location,Shelf Number,Box Name,No. glycerol stocks,SILVA classification,Isolation Conditions,Source,Date Isolated,Isolated by; PI,Genome Sequence
24,MBR-38,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR Isolates + Glycerol,2.0,Roseovarius,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
25,MBR-41,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR Isolates + Glycerol,2.0,Iodidimonas,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
26,MBR-43,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR Isolates + Glycerol,2.0,Roseovarius,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
27,MBR-45,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Bacillus,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
28,MBR-46,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Bacillus,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
29,MBR-47,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Bacillus,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
30,MBR-48,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Bacillus,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
31,MBR-49,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Porphyrobacter,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
32,MBR-50,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Labrenzia,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
33,MBR-51,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Roseovarius,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
34,MBR-53,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Marinobacter,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
35,MBR-54,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Marinobacter,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
36,MBR-55,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Iodidimonas,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
37,MBR-56,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Marinobacter,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
38,MBR-58,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Thallasospira,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
39,MBR-59,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Roseovarius,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
40,MBR-61,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Roseovarius,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
41,MBR-62,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Marinobacter,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
42,MBR-63,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Marinobacter,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
