ER_335,Real Isolate ID,Project,Freezer Location,Shelf Number,Box Name,No. glycerol stocks,SILVA classification,Isolation Conditions,Source,Date Isolated,Isolated by; PI,Genome Sequence
93,MBR 132,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
94,MBR 133,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
95,MBR 135,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
96,MBR 136,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
97,MBR 137,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacterium,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
98,MBR 138,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
99,MBR 139,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
100,MBR 142,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Rhodobacteraceae,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
101,MBR 144,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
102,MBR 145,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Rhodobacteraceae,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
103,MBR 146,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Rhodobacteraceae,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
104,MBR 147,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Rhodobacteraceae,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
105,MBR 148,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
106,MBR 150,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Pschyroflexus,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
107,MBR 151,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
108,MBR 152,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacterium,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
109,MBR 154,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
110,MBR-155,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Porphyrobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-07-01,Shwetha Acharya; Romy C./Susannah T.,
111,MBR-156,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-07-01,Shwetha Acharya; Romy C./Susannah T.,
112,MBR-157,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-07-01,Shwetha Acharya; Romy C./Susannah T.,
113,PW-3,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Stappia,"Marine Agar, 30 C",PW2 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
114,PW-4,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Pseudoalteromonas,"Marine Agar, 30 C",PW2 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
115,PW-5,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Thalassospira,"Marine Agar, 30 C",PW2 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
116,PW-6,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Thalassospira,"Marine Agar, 30 C",PW2 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
117,PW-9,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Shewanella,"Marine Agar, 30 C",PW1 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
118,PW-10,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Altererythrobacter,"Marine Agar, 30 C",PW1 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
119,PW-11,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Marinobacter,"Marine Agar, 30 C",PW1 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
120,PW-12,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Marinobacterium,"Marine Agar, 30 C",PW1 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
121,PW-13,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Shewanella,"Marine Agar, 30 C",PW1 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
122,PW-14,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Marinobacter,"Marine Agar, 30 C",PW1 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
123,PW-15,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Altererythrobacter,"Marine Agar, 30 C",PW1 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
124,PW-16,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Shewanella,"Marine Agar, 30 C",PW1 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
125,PW-17,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Thalassospira,"Marine Agar, 30 C",PW1 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
126,PW-18,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol 1-18,2.0,Dietzia,"Marine Agar, 30 C",PW2 (CO),2019-09-20,"Shwetha Acharya, Omolara A.; Romy C./Susannah T.",
127,PW-19,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Dietzia,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
128,PW-20,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Dietzia,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
129,PW-23,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Planococcus,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
130,PW-24,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Erthyrobacter,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
131,PW-26,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Bacillus,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
132,PW-27,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Marinobacter,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
133,PW-28,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Caenispirillum,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
134,PW-29,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Bacillus,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
135,PW-30,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Bacillus,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
136,PW-32,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Stappia,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
137,PW-33,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Hyphomonas,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
138,PW-34,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Labrenzia,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
139,PW-35,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Rhodobacteraceae,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
140,PW-36,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Marinobacter,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
141,PW-37,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Marinobacterium,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
142,PW-38,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Marinobacter,"Marine Agar, 30 C",PW3 (CO),2019-11-06,Shwetha Acharya; Romy C./Susannah T.,
143,PW-40,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Bacillus,"Marine Agar, 30 C",PW4 (CO),2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
144,PW-41,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Roseovarius,"Marine Agar, 30 C",PW4 (CO),2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
145,PW-44,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Vibrio,"Marine Agar, 30 C",PW4 (CO),2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
146,PW-45,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Bacillus,"Marine Agar, 30 C",PW4 (CO),2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
147,PW-46,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW Isolates + Glycerol,2.0,Labrenzia,"Marine Agar, 30 C",PW4 (CO),2019-12-09,Shwetha Acharya; Romy C./Susannah T.,
148,PWCA 1,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Marinobacterium,"Marine Agar, 30 C","PW- New York, CA",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
149,PWCA 2,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Marinobacterium,"Marine Agar, 30 C","PW- New York, CA",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
150,PWCA 3,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Marinobacterium,"Marine Agar, 30 C","PW- New York, CA",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
151,PWCA 5,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Shewanella,"Marine Agar, 30 C","PW- New York, CA",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
152,PWCA 6,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Shewanella,"Marine Agar, 30 C","PW- New York, CA",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
153,ME-MA-3.3b-1,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Roseovarius,Marine Agar + 2.5% NaCl,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
154,ME-MA-3.3b-2,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Roseovarius,Marine Agar + 2.5% NaCl,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
155,ME-MA-4.2a-1,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Marinobacter,Marine Agar + 2.5% NaCl,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
156,ME-MA-4.2a-2,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Thalassospira,Marine Agar + 2.5% NaCl,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
157,ME-MA-4.2b-1,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Thalassospira,Marine Agar + 2.5% NaCl,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
158,ME-MA-4.2b-2,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Thalassospira,Marine Agar + 2.5% NaCl,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
159,ME-MA-5.2a-3,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Thalassospira,Marine Agar + 2.5% NaCl,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
160,ME-MeOH-2.3a-1,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Methylophaga,APM@80g/L salinity+ 0.3% MeOH,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
161,ME-MeOH-2.3a-2,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Methylophaga,APM@80g/L salinity+ 0.3% MeOH,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
162,ME-MeOH-3.3a-1,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Methylophaga,APM@80g/L salinity+ 0.3% MeOH,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
163,ME-MeOH-3.3a-3,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Methylophaga,APM@80g/L salinity+ 0.3% MeOH,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
164,ME-MeOH-4.2a-1,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Marinobacter,APM@80g/L salinity+ 0.3% MeOH,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
165,ME-MeOH-4.2a-2,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Marinobacter,APM@80g/L salinity+ 0.3% MeOH,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
166,ME-MeOH-6.2a-2,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Methylophaga,APM@80g/L salinity+ 0.3% MeOH,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
167,ME-MeOH-6.2a-3,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Thalassospira,APM@80g/L salinity+ 0.3% MeOH,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
168,ME-TMA-1.3b-4,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Methylophaga enrichment experiment_isolate glycerol stock (10/29/2020),1.0,Parvibaculum,APM @80g/L salinity+ 25mM TMA,Methylophaga enrichment experiments (with MeOH and TMA),2020-10-29,Shwetha Acharya; Romy C./Susannah T.,
169,MBR-R2A-1,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Iodidimonas,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-12,Shwetha Acharya; Romy C./Susannah T.,
170,MBR-R2A-2,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Paraliobacillus,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-08,Shwetha Acharya; Romy C./Susannah T.,
171,MBR-R2A-3,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Bacilus,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-12,Shwetha Acharya; Romy C./Susannah T.,
172,MBR-R2A-6,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Iodidimonas,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-12,Shwetha Acharya; Romy C./Susannah T.,
173,MBR-R2A-7,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Iodidimonas,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-12,Shwetha Acharya; Romy C./Susannah T.,
174,MBR-TSA-1,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Thalassospira,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-08,Shwetha Acharya; Romy C./Susannah T.,
175,MBR-TSA-2,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Roseovarius,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-12,Shwetha Acharya; Romy C./Susannah T.,
176,MBR-TSA-4,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Marinobacter,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-08,Shwetha Acharya; Romy C./Susannah T.,
177,MBR-TSA-5,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Roseovarius,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-12,Shwetha Acharya; Romy C./Susannah T.,
178,MBR-TSA-6,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,Rehaibacterium enrichment isolates,1.0,Roseovarius,R2A+ 80g/L permeate,Rehaibacterium enrichment from MBR sludge (12/3/2019),2020-10-12,Shwetha Acharya; Romy C./Susannah T.,
179,MBR-159,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Halomonas,"Marine Agar + 5% NaCl, 30 C",MBR sludge (6/30/2020),2020-08-05,Shwetha Acharya; Romy C./Susannah T.,
180,MBR-160,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C",MBR sludge (6/30/2020),2020-08-07,Shwetha Acharya; Romy C./Susannah T.,
181,MBR-161,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C",MBR sludge (6/30/2020),2020-08-07,Shwetha Acharya; Romy C./Susannah T.,
182,MBR-162,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C",MBR sludge (6/30/2020),2020-08-07,Shwetha Acharya; Romy C./Susannah T.,
183,MBR-163,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C",MBR sludge (6/30/2020),2020-08-07,Shwetha Acharya; Romy C./Susannah T.,
184,MBR-164,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Halomonas,"Marine Agar + 5% NaCl, 30 C",MBR sludge (6/30/2020),2020-08-05,Shwetha Acharya; Romy C./Susannah T.,
185,MBR-165,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Halomonas,"Marine Agar + 5% NaCl, 30 C",MBR sludge (6/30/2020),2020-08-05,Shwetha Acharya; Romy C./Susannah T.,
186,MBR-166,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Halomonas,"Marine Agar + 5% NaCl, 30 C",MBR sludge (7/7/2020),2020-08-05,Shwetha Acharya; Romy C./Susannah T.,
187,MBR-167,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C",MBR sludge (7/7/2020),2020-08-05,Shwetha Acharya; Romy C./Susannah T.,
188,MBR-169,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C",MBR sludge (7/7/2020),2020-08-05,Shwetha Acharya; Romy C./Susannah T.,
189,MBR-170,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C",MBR sludge (7/7/2020),2020-08-07,Shwetha Acharya; Romy C./Susannah T.,
190,MBR-171,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD- Isolate Glycerol Stock (MBR 155-194),2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C",MBR sludge (7/7/2020),2020-08-07,Shwetha Acharya; Romy C./Susannah T.,
