real_isolate_id,project,source,date_isolated,genome_sequence
ASP-G3-3,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
ASP-G3-4,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
ASP-G3-4,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
ASP-G3-4,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
ASP-G3-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
ASP-G3-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
ASP-G3-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
ASP-G3-6,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
ASP-G3-6,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
ASP-G3-6,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",,
Angelo Soil ,,"Paenarthrobacter nitroguajacolicus strain G2-1 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas kilonensis strain 520-20 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas rhodesiae strain CIP 104664 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Paenarthrobacter nitroguajacolicus strain G2-1 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas rhodesiae strain CIP 104664 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Paenarthrobacter nitroguajacolicus strain G2-1 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Paenarthrobacter nitroguajacolicus strain G2-1 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas frederiksbergensis strain DSM 13022 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain BNS5 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Pseudomonas rhodesiae strain CIP 104664 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas frederiksbergensis strain DSM 13022 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain GGS10 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Pseudomonas rhodesiae strain CIP 104664 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain GGS10 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain WPS1 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Arthrobacter sp. strain H406 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain GGS10 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain WPS1 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain WPS1 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,Pseudomonas brassicacearum subsp. neoaurantiaca strain CIP 109457 1,,
Angelo Soil ,,"Herminiimonas contaminans strain CCUG 53591 16S ribosomal RNA, partia",,
Angelo Soil ,,"Pseudomonas frederiksbergensis strain DSM 13022 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas frederiksbergensis strain DSM 13022 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas frederiksbergensis strain DSM 13022 16S ribosomal RNA, partial sequence",,
